date,sku_id,units_sold,category,brand_id,store_id
2023-01-01,PB-BD-001,82,Bedding,PB,DC1
2023-01-02,PB-BD-001,24,Bedding,PB,DC1
2023-01-03,PB-BD-001,21,Bedding,PB,DC1
2023-01-04,PB-BD-001,23,Bedding,PB,DC1
2023-01-05,PB-BD-001,27,Bedding,PB,DC1
2023-01-06,PB-BD-001,32,Bedding,PB,DC1
2023-01-07,PB-BD-001,40,Bedding,PB,DC1
2023-01-08,PB-BD-001,30,Bedding,PB,DC1
2023-01-09,PB-BD-001,30,Bedding,PB,DC1
2023-01-10,PB-BD-001,27,Bedding,PB,DC1
2023-01-11,PB-BD-001,23,Bedding,PB,DC1
2023-01-12,PB-BD-001,30,Bedding,PB,DC1
2023-01-13,PB-BD-001,31,Bedding,PB,DC1
2023-01-14,PB-BD-001,42,Bedding,PB,DC1
2023-01-15,PB-BD-001,36,Bedding,PB,DC1
2023-01-16,PB-BD-001,29,Bedding,PB,DC1
2023-01-17,PB-BD-001,29,Bedding,PB,DC1
2023-01-18,PB-BD-001,31,Bedding,PB,DC1
2023-01-19,PB-BD-001,29,Bedding,PB,DC1
2023-01-20,PB-BD-001,37,Bedding,PB,DC1
2023-01-21,PB-BD-001,38,Bedding,PB,DC1
2023-01-22,PB-BD-001,39,Bedding,PB,DC1
2023-01-23,PB-BD-001,29,Bedding,PB,DC1
2023-01-24,PB-BD-001,31,Bedding,PB,DC1
2023-01-25,PB-BD-001,29,Bedding,PB,DC1
2023-01-26,PB-BD-001,30,Bedding,PB,DC1
2023-01-27,PB-BD-001,26,Bedding,PB,DC1
2023-01-28,PB-BD-001,40,Bedding,PB,DC1
2023-01-29,PB-BD-001,32,Bedding,PB,DC1
2023-01-30,PB-BD-001,31,Bedding,PB,DC1
2023-01-31,PB-BD-001,30,Bedding,PB,DC1
2023-02-01,PB-BD-001,28,Bedding,PB,DC1
2023-02-02,PB-BD-001,30,Bedding,PB,DC1
2023-02-03,PB-BD-001,32,Bedding,PB,DC1
2023-02-04,PB-BD-001,34,Bedding,PB,DC1
2023-02-05,PB-BD-001,34,Bedding,PB,DC1
2023-02-06,PB-BD-001,29,Bedding,PB,DC1
2023-02-07,PB-BD-001,27,Bedding,PB,DC1
2023-02-08,PB-BD-001,30,Bedding,PB,DC1
2023-02-09,PB-BD-001,30,Bedding,PB,DC1
2023-02-10,PB-BD-001,39,Bedding,PB,DC1
2023-02-11,PB-BD-001,36,Bedding,PB,DC1
2023-02-12,PB-BD-001,39,Bedding,PB,DC1
2023-02-13,PB-BD-001,32,Bedding,PB,DC1
2023-02-14,PB-BD-001,27,Bedding,PB,DC1
2023-02-15,PB-BD-001,25,Bedding,PB,DC1
2023-02-16,PB-BD-001,27,Bedding,PB,DC1
2023-02-17,PB-BD-001,31,Bedding,PB,DC1
2023-02-18,PB-BD-001,44,Bedding,PB,DC1
2023-02-19,PB-BD-001,38,Bedding,PB,DC1
2023-02-20,PB-BD-001,32,Bedding,PB,DC1
2023-02-21,PB-BD-001,27,Bedding,PB,DC1
2023-02-22,PB-BD-001,26,Bedding,PB,DC1
2023-02-23,PB-BD-001,29,Bedding,PB,DC1
2023-02-24,PB-BD-001,33,Bedding,PB,DC1
2023-02-25,PB-BD-001,39,Bedding,PB,DC1
2023-02-26,PB-BD-001,37,Bedding,PB,DC1
2023-02-27,PB-BD-001,27,Bedding,PB,DC1
2023-02-28,PB-BD-001,28,Bedding,PB,DC1
2023-03-01,PB-BD-001,27,Bedding,PB,DC1
2023-03-02,PB-BD-001,27,Bedding,PB,DC1
2023-03-03,PB-BD-001,35,Bedding,PB,DC1
2023-03-04,PB-BD-001,45,Bedding,PB,DC1
2023-03-05,PB-BD-001,40,Bedding,PB,DC1
2023-03-06,PB-BD-001,29,Bedding,PB,DC1
2023-03-07,PB-BD-001,28,Bedding,PB,DC1
2023-03-08,PB-BD-001,29,Bedding,PB,DC1
2023-03-09,PB-BD-001,29,Bedding,PB,DC1
2023-03-10,PB-BD-001,33,Bedding,PB,DC1
2023-03-11,PB-BD-001,40,Bedding,PB,DC1
2023-03-12,PB-BD-001,43,Bedding,PB,DC1
2023-03-13,PB-BD-001,31,Bedding,PB,DC1
2023-03-14,PB-BD-001,24,Bedding,PB,DC1
2023-03-15,PB-BD-001,25,Bedding,PB,DC1
2023-03-16,PB-BD-001,28,Bedding,PB,DC1
2023-03-17,PB-BD-001,30,Bedding,PB,DC1
2023-03-18,PB-BD-001,39,Bedding,PB,DC1
2023-03-19,PB-BD-001,42,Bedding,PB,DC1
2023-03-20,PB-BD-001,29,Bedding,PB,DC1
2023-03-21,PB-BD-001,25,Bedding,PB,DC1
2023-03-22,PB-BD-001,27,Bedding,PB,DC1
2023-03-23,PB-BD-001,28,Bedding,PB,DC1
2023-03-24,PB-BD-001,30,Bedding,PB,DC1
2023-03-25,PB-BD-001,35,Bedding,PB,DC1
2023-03-26,PB-BD-001,40,Bedding,PB,DC1
2023-03-27,PB-BD-001,31,Bedding,PB,DC1
2023-03-28,PB-BD-001,26,Bedding,PB,DC1
2023-03-29,PB-BD-001,24,Bedding,PB,DC1
2023-03-30,PB-BD-001,27,Bedding,PB,DC1
2023-03-31,PB-BD-001,31,Bedding,PB,DC1
2023-04-01,PB-BD-001,38,Bedding,PB,DC1
2023-04-02,PB-BD-001,43,Bedding,PB,DC1
2023-04-03,PB-BD-001,32,Bedding,PB,DC1
2023-04-04,PB-BD-001,27,Bedding,PB,DC1
2023-04-05,PB-BD-001,30,Bedding,PB,DC1
2023-04-06,PB-BD-001,28,Bedding,PB,DC1
2023-04-07,PB-BD-001,34,Bedding,PB,DC1
2023-04-08,PB-BD-001,35,Bedding,PB,DC1
2023-04-09,PB-BD-001,42,Bedding,PB,DC1
2023-04-10,PB-BD-001,31,Bedding,PB,DC1
2023-04-11,PB-BD-001,27,Bedding,PB,DC1
2023-04-12,PB-BD-001,31,Bedding,PB,DC1
2023-04-13,PB-BD-001,28,Bedding,PB,DC1
2023-04-14,PB-BD-001,33,Bedding,PB,DC1
2023-04-15,PB-BD-001,42,Bedding,PB,DC1
2023-04-16,PB-BD-001,36,Bedding,PB,DC1
2023-04-17,PB-BD-001,32,Bedding,PB,DC1
2023-04-18,PB-BD-001,30,Bedding,PB,DC1
2023-04-19,PB-BD-001,31,Bedding,PB,DC1
2023-04-20,PB-BD-001,30,Bedding,PB,DC1
2023-04-21,PB-BD-001,38,Bedding,PB,DC1
2023-04-22,PB-BD-001,49,Bedding,PB,DC1
2023-04-23,PB-BD-001,46,Bedding,PB,DC1
2023-04-24,PB-BD-001,35,Bedding,PB,DC1
2023-04-25,PB-BD-001,33,Bedding,PB,DC1
2023-04-26,PB-BD-001,34,Bedding,PB,DC1
2023-04-27,PB-BD-001,33,Bedding,PB,DC1
2023-04-28,PB-BD-001,42,Bedding,PB,DC1
2023-04-29,PB-BD-001,56,Bedding,PB,DC1
2023-04-30,PB-BD-001,53,Bedding,PB,DC1
2023-05-01,PB-BD-001,44,Bedding,PB,DC1
2023-05-02,PB-BD-001,31,Bedding,PB,DC1
2023-05-03,PB-BD-001,38,Bedding,PB,DC1
2023-05-04,PB-BD-001,46,Bedding,PB,DC1
2023-05-05,PB-BD-001,61,Bedding,PB,DC1
2023-05-06,PB-BD-001,65,Bedding,PB,DC1
