date,sku_id,brand_id,category,segment_id,units_sold,seasonality_mult,event_effect
2022-01-01,WS-CI-001,WS,Cookware,SEG-06,33,1.0,1.0
2022-01-02,WS-CI-001,WS,Cookware,SEG-01,32,1.0,1.0
2022-01-03,WS-CI-001,WS,Cookware,SEG-03,33,1.0,1.0
2022-01-04,WS-CI-001,WS,Cookware,SEG-02,28,1.0,1.0
2022-01-05,WS-CI-001,WS,Cookware,SEG-07,31,1.0,1.0
2022-01-06,WS-CI-001,WS,Cookware,SEG-07,30,1.0,1.0
2022-01-07,WS-CI-001,WS,Cookware,SEG-09,33,1.0,1.0
2022-01-08,WS-CI-001,WS,Cookware,SEG-01,44,1.0,1.0
2022-01-09,WS-CI-001,WS,Cookware,SEG-04,39,1.0,1.0
2022-01-10,WS-CI-001,WS,Cookware,SEG-01,30,1.0,1.0
2022-01-11,WS-CI-001,WS,Cookware,SEG-02,25,1.0,1.0
2022-01-12,WS-CI-001,WS,Cookware,SEG-05,22,1.0,1.0
2022-01-13,WS-CI-001,WS,Cookware,SEG-01,28,1.0,1.0
2022-01-14,WS-CI-001,WS,Cookware,SEG-02,30,1.0,1.0
2022-01-15,WS-CI-001,WS,Cookware,SEG-06,47,1.0,1.0
2022-01-16,WS-CI-001,WS,Cookware,SEG-05,34,1.0,1.0
2022-01-17,WS-CI-001,WS,Cookware,SEG-02,28,1.0,1.0
2022-01-18,WS-CI-001,WS,Cookware,SEG-06,24,1.0,1.0
2022-01-19,WS-CI-001,WS,Cookware,SEG-08,26,1.0,1.0
2022-01-20,WS-CI-001,WS,Cookware,SEG-01,27,1.0,1.0
2022-01-21,WS-CI-001,WS,Cookware,SEG-08,38,1.0,1.0
2022-01-22,WS-CI-001,WS,Cookware,SEG-07,40,1.0,1.0
2022-01-23,WS-CI-001,WS,Cookware,SEG-03,36,1.0,1.0
2022-01-24,WS-CI-001,WS,Cookware,SEG-02,30,1.0,1.0
2022-01-25,WS-CI-001,WS,Cookware,SEG-10,29,1.0,1.0
2022-01-26,WS-CI-001,WS,Cookware,SEG-03,26,1.0,1.0
2022-01-27,WS-CI-001,WS,Cookware,SEG-01,30,1.0,1.0
2022-01-28,WS-CI-001,WS,Cookware,SEG-01,37,1.0,1.0
2022-01-29,WS-CI-001,WS,Cookware,SEG-08,40,1.0,1.0
2022-01-30,WS-CI-001,WS,Cookware,SEG-06,36,1.0,1.027
2022-01-31,WS-CI-001,WS,Cookware,SEG-08,29,1.0,1.064
2022-02-01,WS-CI-001,WS,Cookware,SEG-07,29,1.0,1.085
2022-02-02,WS-CI-001,WS,Cookware,SEG-05,31,1.0,1.113
2022-02-03,WS-CI-001,WS,Cookware,SEG-10,29,1.0,1.151
2022-02-04,WS-CI-001,WS,Cookware,SEG-04,42,1.0,1.201
2022-02-05,WS-CI-001,WS,Cookware,SEG-05,50,1.0,1.267
2022-02-06,WS-CI-001,WS,Cookware,SEG-08,48,1.0,1.356
2022-02-07,WS-CI-001,WS,Cookware,SEG-06,42,1.0,1.473
2022-02-08,WS-CI-001,WS,Cookware,SEG-09,42,1.0,1.63
2022-02-09,WS-CI-001,WS,Cookware,SEG-06,52,1.0,1.838
