feature,importance
lag_365,0.30241573
rolling_7,0.15891753
holiday_pipeline,0.06587243
bfcm_overlap,0.049622692
cybermonday_post_decay,0.045704328
month,0.04230635
cybermonday_pre_decay,0.031218424
christmas_post_decay,0.029638585
christmas_pre_decay,0.027101718
blackfriday_post_decay,0.024412317
weddingseason_post_decay,0.02373897
lag_7,0.023308625
newyear_pre_decay,0.022205593
day_of_week,0.01990094
mothersday_pre_decay,0.0111841615
weddingseason_pre_decay,0.00962471
newyear_post_decay,0.006993213
brand_enc,0.006426727
week_of_year,0.0060769212
days_to_thanksgiving,0.0060183224
rolling_30,0.0058055413
day_of_month,0.005544992
is_weekend,0.005461408
spring_gifting,0.0054282164
thanksgiving_post_decay,0.005073275
superbowl_post_decay,0.0046553686
backtocollege_post_decay,0.0044949027
blackfriday_pre_decay,0.004396478
backtocollege_pre_decay,0.00422062
days_to_christmas,0.004133192
category_enc,0.003747215
quarter,0.0035935093
mothersday_post_decay,0.003488125
trend_ratio_7_30,0.0034163806
superbowl_pre_decay,0.0031997964
lag_30,0.0028733886
days_to_mothersday,0.0026729577
thanksgiving_pre_decay,0.002191534
is_q4,0.0020196168
items_fulfilled_this_month,0.0017293964
channel_enc,0.0012729503
conversion_rate,0.0012495525
active_registries,0.0012404126
ltv_tier_enc,0.0011502022
is_gift_buyer,0.0010032734
days_to_blackfriday,0.0009990872
laborday_pre_decay,0.00093463965
is_registry_buyer,0.00084635185
laborday_post_decay,0.0004693928
valentines_pre_decay,0.0
valentines_post_decay,0.0
